dissemination id,org dissemination id,exec timestamp,action,cleared,collateralization,end user exception,bespoke swap,block trade,exec venue,effective date,end date,day count convention,settlement currency,asset class,asset subclass,contract type,contract subtype,taxonomy,price forming continuation data,underlying asset 1,underlying asset 2,price notation type,price notation,additional price notation type,additional price notation,unique product id,notional currency 1,notional currency amount 1,notional currency 2,notional currency amount 2,payment frequency,payment frequency 2,reset frequency,reset frequency 2,embedded option,option strike price,option type,option family,option currency,option premium,option lock period,option expiration date,submission timestamp,publication timestamp,ticker,cds version
'6569985550628945920','0',2018-06-22T18:59:19.000,New,C,UC,N,N,N,On,06/25/2018,06/25/2023,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.921300,USD,11710.000000,InterestRate:IRSwap:FixedFloat,USD,110000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:59:24.000,2018-06-22T18:59:24.000,, 
'6569985546334502912','0',2018-06-22T18:59:19.000,New,C,UC,N,N,N,On,06/26/2018,06/26/2021,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.880500,USD,55525.000000,InterestRate:IRSwap:FixedFloat,USD,170000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:59:23.000,2018-06-22T18:59:23.000,, 
'6569985542039273472','0',2018-06-22T18:59:19.000,New,C,UC,N,N,N,On,06/25/2018,06/25/2021,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.888500,USD,2317.000000,InterestRate:IRSwap:FixedFloat,USD,170000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:59:22.000,2018-06-22T18:59:22.000,, 
'6569984880614572032','0',2018-06-22T18:56:38.000,New,C,UC,N,N,N,On,06/11/2018,06/11/2025,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,0.605000,,0,InterestRate:IRSwap:FixedFloat,USD,170 MM+,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:56:48.000,2018-06-22T18:56:48.000,, 
'6569984876319342592','0',2018-06-22T18:56:38.000,New,C,UC,N,N,N,On,06/27/2018,06/27/2025,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.990000,,0,InterestRate:IRSwap:FixedFloat,USD,170 MM+,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:56:47.000,2018-06-22T18:56:47.000,, 
'6569984867729670144','0',2018-06-22T18:56:38.000,New,C,UC,N,N,N,On,06/21/2018,06/21/2025,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.910500,,0,InterestRate:IRSwap:FixedFloat,USD,55000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:56:45.000,2018-06-22T18:56:45.000,, 
'6569984863434178560','0',2018-06-22T18:56:38.000,New,C,UC,N,N,N,On,06/19/2018,06/19/2025,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.941200,,0,InterestRate:IRSwap:FixedFloat,USD,39000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:56:44.000,2018-06-22T18:56:44.000,, 
'6569984859139997696','0',2018-06-22T18:56:38.000,New,C,UC,N,N,N,On,06/19/2018,06/19/2025,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.945900,,0,InterestRate:IRSwap:FixedFloat,USD,63000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:56:43.000,2018-06-22T18:56:43.000,, 
'6569984850549538816','0',2018-06-22T18:56:38.000,New,C,UC,N,N,N,On,06/11/2018,06/11/2025,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.120000,USD,106482.000000,InterestRate:IRSwap:FixedFloat,USD,170 MM+,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:56:41.000,2018-06-22T18:56:41.000,, 
'6569984360923267072','0',2018-06-22T18:54:46.000,New,C,UC,N,N,N,On,09/19/2018,09/19/2048,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.500000,USD,128588.000000,InterestRate:IRSwap:FixedFloat,USD,1000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:54:48.000,2018-06-22T18:54:48.000,, 
'6569984232074248192','0',2018-06-22T18:54:14.000,New,C,UC,N,N,N,On,09/19/2018,09/19/2038,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.500000,USD,162002.000000,InterestRate:IRSwap:FixedFloat,USD,2000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:54:17.000,2018-06-22T18:54:17.000,, 
'6569984021620850688','0',2018-06-22T18:53:26.000,New,C,UC,N,N,N,On,09/19/2018,09/19/2028,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.500000,USD,140151.000000,InterestRate:IRSwap:FixedFloat,USD,3000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:53:28.000,2018-06-22T18:53:28.000,, 
'6569983514814709760','0',2018-06-22T18:51:28.000,New,C,UC,N,N,N,On,09/19/2018,09/19/2023,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.250000,USD,192350.000000,InterestRate:IRSwap:FixedFloat,USD,6000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:51:30.000,2018-06-22T18:51:30.000,, 
'6569983368786083840','0',2018-06-22T18:50:52.000,New,C,UC,N,N,N,On,06/26/2018,06/26/2023,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.922000,,0,InterestRate:IRSwap:FixedFloat,USD,64000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:50:56.000,2018-06-22T18:50:56.000,, 
'6569983364490592256','0',2018-06-22T18:50:52.000,New,C,UC,N,N,N,On,06/26/2018,06/26/2028,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.968980,,0,InterestRate:IRSwap:FixedFloat,USD,34000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:50:55.000,2018-06-22T18:50:55.000,, 
'6569983308656017408','0',2018-06-22T18:50:40.000,New,C,UC,N,N,N,On,09/19/2018,09/19/2020,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.250000,USD,72442.000000,InterestRate:IRSwap:FixedFloat,USD,6000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:50:42.000,2018-06-22T18:50:42.000,, 
'6569983076727783424','0',2018-06-22T18:49:45.000,New,C,UC,N,N,N,On,09/19/2018,09/19/2028,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.500000,USD,1923575.000000,InterestRate:IRSwap:FixedFloat,USD,45000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:49:48.000,2018-06-22T18:49:48.000,, 
'6569983042368569344','0',2018-06-22T18:49:36.000,New,C,UC,N,N,N,On,06/26/2018,06/26/2020,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.811020,,0,InterestRate:IRSwap:FixedFloat,USD,210000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:49:40.000,2018-06-22T18:49:40.000,, 
'6569983038073077760','0',2018-06-22T18:49:36.000,New,C,UC,N,N,N,On,06/26/2018,06/26/2033,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,3.004380,,0,InterestRate:IRSwap:FixedFloat,USD,32000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:49:39.000,2018-06-22T18:49:39.000,, 
'6569980675841327104','0',2018-06-22T18:40:28.000,New,C,UC,N,N,N,On,09/26/2013,09/26/2023,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.806000,USD,7753.000000,InterestRate:IRSwap:FixedFloat,USD,2000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:40:29.000,2018-06-22T18:40:29.000,, 
'6569979752423358464','0',2018-06-22T18:36:51.000,New,C,UC,N,N,N,On,06/26/2018,06/26/2038,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,3.007300,,0,InterestRate:IRSwap:FixedFloat,USD,26000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:36:54.000,2018-06-22T18:36:54.000,, 
'6569979696588521472','0',2018-06-22T18:36:37.000,New,C,UC,N,N,N,On,06/20/2018,06/20/2048,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.500000,USD,10709.000000,InterestRate:IRSwap:FixedFloat,USD,100000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:36:41.000,2018-06-22T18:36:41.000,, 
